,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.026815459015779197,567.0,100.0,100,0.1,100
1,1,0.07993725000414997,569.0,202.0,100,0.1,100
2,2,0.10192362498492002,569.0,303.0,100,0.1,100
3,3,0.1239450839930214,569.0,404.0,100,0.1,100
4,4,0.14630395895801485,569.0,505.0,100,0.1,100
5,5,0.1685585419763811,569.0,606.0,100,0.1,100
6,6,0.19089620898012072,569.0,707.0,100,0.1,100
7,7,0.2134471670142375,571.0,809.0,100,0.1,100
8,8,0.23558266699546948,571.0,910.0,100,0.1,100
9,9,0.26098966697463766,571.0,1011.0,100,0.1,100
10,10,0.28355429199291393,574.0,1113.0,100,0.1,100
11,11,0.30597024998860434,574.0,1214.0,100,0.1,100
12,12,0.332311583973933,574.0,1315.0,100,0.1,100
13,13,0.3764473340124823,574.0,1416.0,100,0.1,100
14,14,0.432064916996751,574.0,1517.0,100,0.1,100
15,15,0.4578036669990979,574.0,1618.0,100,0.1,100
16,16,0.4820639999816194,574.0,1719.0,100,0.1,100
17,17,0.5043670840095729,574.0,1820.0,100,0.1,100
18,18,0.5263314999756403,574.0,1921.0,100,0.1,100
19,19,0.5480393749894574,574.0,2022.0,100,0.1,100
20,20,0.5698888750048354,574.0,2123.0,100,0.1,100
21,21,0.5923463340150192,574.0,2224.0,100,0.1,100
22,22,0.614402083971072,574.0,2325.0,100,0.1,100
23,23,0.6361977919586934,574.0,2426.0,100,0.1,100
24,24,0.6590945839998312,578.0,2528.0,100,0.1,100
25,25,0.6812252500094473,578.0,2629.0,100,0.1,100
26,26,0.7032761669834144,578.0,2730.0,100,0.1,100
27,27,0.7252689590095542,578.0,2831.0,100,0.1,100
28,28,0.7474376669852063,578.0,2932.0,100,0.1,100
29,29,0.769590874959249,578.0,3033.0,100,0.1,100
30,30,0.7916574589908123,578.0,3134.0,100,0.1,100
31,31,0.8137189999688417,578.0,3235.0,100,0.1,100
32,32,0.8362411250127479,578.0,3336.0,100,0.1,100
33,33,0.8580706249922514,578.0,3437.0,100,0.1,100
34,34,0.8799763339920901,578.0,3538.0,100,0.1,100
35,35,0.9020954589941539,578.0,3639.0,100,0.1,100
36,36,0.9241350420052186,578.0,3740.0,100,0.1,100
37,37,0.9463134589605033,578.0,3841.0,100,0.1,100
38,38,0.9683024589903653,578.0,3942.0,100,0.1,100
39,39,0.9905254999757744,580.0,4044.0,100,0.1,100
40,40,1.0128192919655703,580.0,4145.0,100,0.1,100
41,41,1.056518666970078,580.0,4246.0,100,0.1,100
42,42,1.096051374974195,580.0,4347.0,100,0.1,100
43,43,1.129437291994691,580.0,4448.0,100,0.1,100
44,44,1.1594089170102961,580.0,4549.0,100,0.1,100
45,45,1.1904676249832846,581.0,4651.0,100,0.1,100
46,46,1.21506491699256,581.0,4752.0,100,0.1,100
47,47,1.243554042011965,581.0,4853.0,100,0.1,100
48,48,1.2742329169996083,581.0,4954.0,100,0.1,100
49,49,1.386373333982192,581.0,5055.0,100,0.1,100
50,50,1.4337583339656703,582.0,5157.0,100,0.1,100
51,51,1.4576093750074506,582.0,5258.0,100,0.1,100
52,52,1.4811446249950677,583.0,5360.0,100,0.1,100
53,53,1.506047458969988,583.0,5461.0,100,0.1,100
54,54,1.5290403749677353,583.0,5562.0,100,0.1,100
55,55,1.5531857919995673,583.0,5663.0,100,0.1,100
56,56,1.5760325840092264,583.0,5764.0,100,0.1,100
57,57,1.598431708989665,583.0,5865.0,100,0.1,100
58,58,1.6232049589743838,583.0,5966.0,100,0.1,100
59,59,1.646381750004366,584.0,6068.0,100,0.1,100
60,60,1.67371462500887,584.0,6169.0,100,0.1,100
61,61,1.6970833339728415,584.0,6270.0,100,0.1,100
62,62,1.7200917089940049,587.0,6372.0,100,0.1,100
63,63,1.7441401249961928,587.0,6473.0,100,0.1,100
64,64,1.7672942919889465,587.0,6574.0,100,0.1,100
65,65,1.7925868749734946,587.0,6675.0,100,0.1,100
66,66,1.8160211669746786,587.0,6776.0,100,0.1,100
67,67,1.8386643339763395,587.0,6877.0,100,0.1,100
68,68,1.8749703749781474,587.0,6978.0,100,0.1,100
69,69,1.8986031669774093,588.0,7080.0,100,0.1,100
70,70,1.9212037500110455,588.0,7181.0,100,0.1,100
71,71,1.943127334001474,588.0,7282.0,100,0.1,100
72,72,1.9652914999751374,588.0,7383.0,100,0.1,100
73,73,1.9875972499721684,588.0,7484.0,100,0.1,100
74,74,2.009853750001639,588.0,7585.0,100,0.1,100
75,75,2.031986791989766,588.0,7686.0,100,0.1,100
76,76,2.0541667499928735,588.0,7787.0,100,0.1,100
77,77,2.077453458972741,589.0,7889.0,100,0.1,100
78,78,2.100330749992281,589.0,7990.0,100,0.1,100
79,79,2.124100999964867,589.0,8091.0,100,0.1,100
80,80,2.1470162500045262,589.0,8192.0,100,0.1,100
81,81,2.1698842920013703,589.0,8293.0,100,0.1,100
82,82,2.1951213339925744,589.0,8394.0,100,0.1,100
83,83,2.2186569590121508,589.0,8495.0,100,0.1,100
84,84,2.242638833995443,589.0,8596.0,100,0.1,100
85,85,2.2652334590093233,589.0,8697.0,100,0.1,100
86,86,2.2878704169997945,589.0,8798.0,100,0.1,100
87,87,2.310329791973345,589.0,8899.0,100,0.1,100
88,88,2.3330480419681408,589.0,9000.0,100,0.1,100
89,89,2.355811333982274,589.0,9101.0,100,0.1,100
90,90,2.3781744170119055,589.0,9202.0,100,0.1,100
91,91,2.400986333959736,589.0,9303.0,100,0.1,100
92,92,2.431955125008244,589.0,9404.0,100,0.1,100
93,93,2.457572999992408,589.0,9505.0,100,0.1,100
94,94,2.4810059589799494,589.0,9606.0,100,0.1,100
95,95,2.5043105839868076,589.0,9707.0,100,0.1,100
96,96,2.527507708990015,589.0,9808.0,100,0.1,100
97,97,2.550631458987482,589.0,9909.0,100,0.1,100
98,0,0.026815459015779197,567.0,100.0,100,0.25,100
99,1,0.07993725000414997,570.0,202.0,100,0.25,100
100,2,0.10192362498492002,570.0,303.0,100,0.25,100
101,3,0.1239450839930214,570.0,404.0,100,0.25,100
102,4,0.14630395895801485,572.0,506.0,100,0.25,100
103,5,0.1685585419763811,572.0,607.0,100,0.25,100
104,6,0.19089620898012072,572.0,708.0,100,0.25,100
105,7,0.2134471670142375,572.0,809.0,100,0.25,100
106,8,0.23558266699546948,572.0,910.0,100,0.25,100
107,9,0.26098966697463766,572.0,1011.0,100,0.25,100
108,10,0.28355429199291393,573.0,1113.0,100,0.25,100
109,11,0.30597024998860434,573.0,1214.0,100,0.25,100
110,12,0.332311583973933,573.0,1315.0,100,0.25,100
111,13,0.3764473340124823,573.0,1416.0,100,0.25,100
112,14,0.432064916996751,573.0,1517.0,100,0.25,100
113,15,0.4578036669990979,573.0,1618.0,100,0.25,100
114,16,0.4820639999816194,575.0,1720.0,100,0.25,100
115,17,0.5043670840095729,575.0,1821.0,100,0.25,100
116,18,0.5263314999756403,575.0,1922.0,100,0.25,100
117,19,0.5480393749894574,575.0,2023.0,100,0.25,100
118,20,0.5698888750048354,575.0,2124.0,100,0.25,100
119,21,0.5923463340150192,575.0,2225.0,100,0.25,100
120,22,0.614402083971072,575.0,2326.0,100,0.25,100
121,23,0.6361977919586934,575.0,2427.0,100,0.25,100
122,24,0.6590945839998312,575.0,2528.0,100,0.25,100
123,25,0.6812252500094473,575.0,2629.0,100,0.25,100
124,26,0.7032761669834144,576.0,2731.0,100,0.25,100
125,27,0.7252689590095542,577.0,2833.0,100,0.25,100
126,28,0.7474376669852063,577.0,2934.0,100,0.25,100
127,29,0.769590874959249,577.0,3035.0,100,0.25,100
128,30,0.7916574589908123,578.0,3137.0,100,0.25,100
129,31,0.8137189999688417,578.0,3238.0,100,0.25,100
130,32,0.8362411250127479,578.0,3339.0,100,0.25,100
131,33,0.8580706249922514,578.0,3440.0,100,0.25,100
132,34,0.8799763339920901,578.0,3541.0,100,0.25,100
133,35,0.9020954589941539,578.0,3642.0,100,0.25,100
