,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.012890083016827703,567.0,50.0,True,50,0.1,50
1,1,0.08621383301215246,569.0,102.0,True,50,0.1,50
2,2,0.15290212497347966,569.0,153.0,True,50,0.1,50
3,3,0.2662909160135314,569.0,204.0,True,50,0.1,50
4,4,0.38122600002679974,569.0,255.0,True,50,0.1,50
5,5,0.49318591598421335,569.0,306.0,True,50,0.1,50
6,6,0.606154749984853,569.0,357.0,True,50,0.1,50
7,0,0.012890083016827703,567.0,50.0,True,50,0.25,50
8,1,0.08621383301215246,569.0,102.0,True,50,0.25,50
9,2,0.15290212497347966,569.0,153.0,True,50,0.25,50
10,3,0.2662909160135314,569.0,204.0,True,50,0.25,50
11,4,0.38122600002679974,569.0,255.0,True,50,0.25,50
12,5,0.49318591598421335,569.0,306.0,True,50,0.25,50
13,6,0.606154749984853,569.0,357.0,True,50,0.25,50
14,0,0.012890083016827703,567.0,50.0,True,50,0.5,50
15,1,0.08621383301215246,568.0,102.0,True,50,0.5,50
16,2,0.15290212497347966,568.0,153.0,True,50,0.5,50
17,3,0.2662909160135314,568.0,204.0,True,50,0.5,50
18,4,0.38122600002679974,568.0,255.0,True,50,0.5,50
19,5,0.49318591598421335,568.0,306.0,True,50,0.5,50
20,6,0.606154749984853,568.0,357.0,True,50,0.5,50
21,0,0.012890083016827703,567.0,50.0,True,50,0.7,50
22,1,0.08621383301215246,569.0,102.0,True,50,0.7,50
23,2,0.15290212497347966,569.0,153.0,True,50,0.7,50
24,3,0.2662909160135314,569.0,204.0,True,50,0.7,50
25,4,0.38122600002679974,569.0,255.0,True,50,0.7,50
26,5,0.49318591598421335,569.0,306.0,True,50,0.7,50
27,6,0.606154749984853,569.0,357.0,True,50,0.7,50
28,0,0.012890083016827703,567.0,50.0,True,50,0.8,50
29,1,0.08621383301215246,568.0,102.0,True,50,0.8,50
30,2,0.15290212497347966,568.0,153.0,True,50,0.8,50
31,3,0.2662909160135314,568.0,204.0,True,50,0.8,50
32,4,0.38122600002679974,568.0,255.0,True,50,0.8,50
33,5,0.49318591598421335,568.0,306.0,True,50,0.8,50
34,6,0.606154749984853,568.0,357.0,True,50,0.8,50
35,0,0.012890083016827703,567.0,100.0,True,100,0.1,50
36,1,0.08621383301215246,569.0,202.0,True,100,0.1,50
37,2,0.15290212497347966,569.0,303.0,True,100,0.1,50
38,3,0.2662909160135314,569.0,404.0,True,100,0.1,50
39,4,0.38122600002679974,569.0,505.0,True,100,0.1,50
40,5,0.49318591598421335,569.0,606.0,True,100,0.1,50
41,6,0.606154749984853,569.0,707.0,True,100,0.1,50
42,0,0.012890083016827703,567.0,100.0,True,100,0.25,50
43,1,0.08621383301215246,570.0,202.0,True,100,0.25,50
44,2,0.15290212497347966,570.0,303.0,True,100,0.25,50
45,3,0.2662909160135314,572.0,405.0,True,100,0.25,50
46,4,0.38122600002679974,572.0,506.0,True,100,0.25,50
47,5,0.49318591598421335,572.0,607.0,True,100,0.25,50
48,6,0.606154749984853,572.0,708.0,True,100,0.25,50
49,7,0.01095800002804026,572.0,809.0,True,100,0.25,50
50,8,0.0959222909878008,572.0,910.0,True,100,0.25,50
51,0,0.012890083016827703,567.0,100.0,True,100,0.5,50
52,1,0.08621383301215246,569.0,202.0,True,100,0.5,50
53,2,0.15290212497347966,569.0,303.0,True,100,0.5,50
54,3,0.2662909160135314,572.0,405.0,True,100,0.5,50
55,4,0.38122600002679974,572.0,506.0,True,100,0.5,50
56,5,0.49318591598421335,572.0,607.0,True,100,0.5,50
57,6,0.606154749984853,573.0,709.0,True,100,0.5,50
58,7,0.01095800002804026,573.0,810.0,True,100,0.5,50
59,8,0.0959222909878008,573.0,911.0,True,100,0.5,50
60,9,0.16798429103801027,573.0,1012.0,True,100,0.5,50
61,10,0.2818587500369176,573.0,1113.0,True,100,0.5,50
62,11,0.402062457986176,573.0,1214.0,True,100,0.5,50
63,0,0.012890083016827703,567.0,100.0,True,100,0.7,50
64,1,0.08621383301215246,570.0,202.0,True,100,0.7,50
65,2,0.15290212497347966,570.0,303.0,True,100,0.7,50
66,3,0.2662909160135314,570.0,404.0,True,100,0.7,50
67,4,0.38122600002679974,570.0,505.0,True,100,0.7,50
68,5,0.49318591598421335,573.0,607.0,True,100,0.7,50
69,6,0.606154749984853,573.0,708.0,True,100,0.7,50
70,7,0.01095800002804026,573.0,809.0,True,100,0.7,50
71,8,0.0959222909878008,575.0,911.0,True,100,0.7,50
72,9,0.16798429103801027,575.0,1012.0,True,100,0.7,50
73,10,0.2818587500369176,575.0,1113.0,True,100,0.7,50
74,11,0.402062457986176,576.0,1215.0,True,100,0.7,50
75,12,0.5281835829955526,576.0,1316.0,True,100,0.7,50
76,13,0.6485431659966707,576.0,1417.0,True,100,0.7,50
77,14,0.010777541028801352,576.0,1518.0,True,100,0.7,50
78,15,0.11543537501711398,576.0,1619.0,True,100,0.7,50
79,16,0.21825754101155326,576.0,1720.0,True,100,0.7,50
80,0,0.012890083016827703,567.0,100.0,True,100,0.8,50
81,1,0.08621383301215246,569.0,202.0,True,100,0.8,50
82,2,0.15290212497347966,569.0,303.0,True,100,0.8,50
83,3,0.2662909160135314,569.0,404.0,True,100,0.8,50
84,4,0.38122600002679974,569.0,505.0,True,100,0.8,50
85,5,0.49318591598421335,569.0,606.0,True,100,0.8,50
86,6,0.606154749984853,569.0,707.0,True,100,0.8,50
87,0,0.012890083016827703,567.0,200.0,True,200,0.1,50
88,1,0.08621383301215246,571.0,402.0,True,200,0.1,50
89,2,0.15290212497347966,572.0,604.0,True,200,0.1,50
90,3,0.2662909160135314,572.0,805.0,True,200,0.1,50
91,4,0.38122600002679974,572.0,1006.0,True,200,0.1,50
92,5,0.49318591598421335,572.0,1207.0,True,200,0.1,50
93,6,0.606154749984853,572.0,1408.0,True,200,0.1,50
94,7,0.01095800002804026,572.0,1609.0,True,200,0.1,50
95,0,0.012890083016827703,567.0,200.0,True,200,0.25,50
96,1,0.08621383301215246,572.0,402.0,True,200,0.25,50
97,2,0.15290212497347966,574.0,604.0,True,200,0.25,50
98,3,0.2662909160135314,574.0,805.0,True,200,0.25,50
99,4,0.38122600002679974,576.0,1007.0,True,200,0.25,50
100,5,0.49318591598421335,578.0,1209.0,True,200,0.25,50
