,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,567.0,50,0.012890083016827703,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,50,0.1,50
1,50,569.0,357,0.606154749984853,"[24.0, 30.0, 29.0, 20.0, 34.0, 0.0, 13.0, 26.0, 0.0, 17.0, 9.0, 11.0, 6.0, 8.0, 3.0, 1.0, 27.0, 24.0, 20.0, 9.0, 16.0, 26.0, 18.0, 14.0, 5.0, 30.0, 14.0, 29.0, 26.0, 13.0, 19.0, 34.0, 7.0, 0.0, 31.0]",True,50,0.1,50
2,0,567.0,50,0.01095800002804026,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,50,0.25,50
3,50,569.0,357,0.6485431659966707,"[24.0, 30.0, 29.0, 20.0, 34.0, 0.0, 13.0, 26.0, 0.0, 17.0, 9.0, 11.0, 6.0, 8.0, 3.0, 1.0, 27.0, 24.0, 20.0, 9.0, 16.0, 26.0, 18.0, 14.0, 5.0, 30.0, 14.0, 29.0, 26.0, 13.0, 19.0, 34.0, 7.0, 0.0, 31.0]",True,50,0.25,50
4,0,567.0,50,0.010777541028801352,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,50,0.5,50
5,50,568.0,357,0.6167972080293112,"[20.0, 22.0, 29.0, 6.0, 10.0, 18.0, 24.0, 32.0, 34.0, 8.0, 25.0, 11.0, 24.0, 16.0, 19.0, 9.0, 22.0, 30.0, 28.0, 23.0, 16.0, 31.0, 3.0, 18.0, 5.0, 26.0, 14.0, 29.0, 16.0, 15.0, 23.0, 34.0, 34.0, 10.0, 1.0]",True,50,0.5,50
6,0,567.0,50,0.010734542040154338,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,50,0.7,50
7,50,569.0,357,0.7154095000005327,"[24.0, 30.0, 29.0, 20.0, 34.0, 0.0, 13.0, 26.0, 0.0, 17.0, 9.0, 11.0, 6.0, 8.0, 3.0, 1.0, 27.0, 24.0, 20.0, 9.0, 16.0, 26.0, 18.0, 14.0, 5.0, 30.0, 14.0, 29.0, 26.0, 13.0, 19.0, 34.0, 7.0, 0.0, 31.0]",True,50,0.7,50
8,0,567.0,50,0.010671291965991259,"[8, 14, 13, 28, 28, 14, 15, 27, 2, 1, 12, 30, 23, 25, 28, 32, 33, 7, 4, 16, 0, 3, 8, 26, 2, 16, 32, 11, 22, 17, 15, 28, 5, 20, 24]",True,50,0.8,50
9,50,568.0,357,0.7088152089854702,"[6.0, 5.0, 18.0, 23.0, 25.0, 13.0, 34.0, 25.0, 0.0, 22.0, 26.0, 11.0, 2.0, 12.0, 1.0, 15.0, 21.0, 2.0, 32.0, 22.0, 9.0, 20.0, 10.0, 16.0, 4.0, 20.0, 9.0, 26.0, 28.0, 0.0, 3.0, 2.0, 8.0, 19.0, 21.0]",True,50,0.8,50
