,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.030903959006536752,26.6205,50.0,True,50,0.1,50
1,1,0.07666029199026525,21.4024,102.0,True,50,0.1,50
2,2,0.10495883401017636,21.4024,153.0,True,50,0.1,50
3,3,0.13408591703046113,21.4024,204.0,True,50,0.1,50
4,4,0.1660845840233378,21.4024,255.0,True,50,0.1,50
5,5,0.1944435000186786,21.4024,306.0,True,50,0.1,50
6,6,0.22344475000863895,21.4024,357.0,True,50,0.1,50
7,0,0.030903959006536752,26.6205,50.0,True,50,0.25,50
8,1,0.07666029199026525,21.269000000000002,102.0,True,50,0.25,50
9,2,0.10495883401017636,21.269000000000002,153.0,True,50,0.25,50
10,3,0.13408591703046113,21.269000000000002,204.0,True,50,0.25,50
11,4,0.1660845840233378,21.269000000000002,255.0,True,50,0.25,50
12,5,0.1944435000186786,21.269000000000002,306.0,True,50,0.25,50
13,6,0.22344475000863895,21.269000000000002,357.0,True,50,0.25,50
14,0,0.030903959006536752,26.6205,50.0,True,50,0.5,50
15,1,0.07666029199026525,21.4165,102.0,True,50,0.5,50
16,2,0.10495883401017636,21.4165,153.0,True,50,0.5,50
17,3,0.13408591703046113,21.4165,204.0,True,50,0.5,50
18,4,0.1660845840233378,21.4165,255.0,True,50,0.5,50
19,5,0.1944435000186786,21.4165,306.0,True,50,0.5,50
20,6,0.22344475000863895,21.4165,357.0,True,50,0.5,50
21,0,0.030903959006536752,26.6205,50.0,True,50,0.7,50
22,1,0.07666029199026525,20.5788,102.0,True,50,0.7,50
23,2,0.10495883401017636,20.067500000000003,154.0,True,50,0.7,50
24,3,0.13408591703046113,20.067500000000003,205.0,True,50,0.7,50
25,4,0.1660845840233378,20.067500000000003,256.0,True,50,0.7,50
26,5,0.1944435000186786,20.067500000000003,307.0,True,50,0.7,50
27,6,0.22344475000863895,20.067500000000003,358.0,True,50,0.7,50
28,7,0.020808959030546248,20.067500000000003,409.0,True,50,0.7,50
29,0,0.030903959006536752,26.6205,50.0,True,50,0.8,50
30,1,0.07666029199026525,20.4418,102.0,True,50,0.8,50
31,2,0.10495883401017636,19.55,154.0,True,50,0.8,50
32,3,0.13408591703046113,19.55,205.0,True,50,0.8,50
33,4,0.1660845840233378,19.55,256.0,True,50,0.8,50
34,5,0.1944435000186786,19.55,307.0,True,50,0.8,50
35,6,0.22344475000863895,19.55,358.0,True,50,0.8,50
36,7,0.020808959030546248,19.55,409.0,True,50,0.8,50
37,0,0.030903959006536752,26.6205,100.0,True,100,0.1,50
38,1,0.07666029199026525,19.699,202.0,True,100,0.1,50
39,2,0.10495883401017636,19.699,303.0,True,100,0.1,50
40,3,0.13408591703046113,19.699,404.0,True,100,0.1,50
41,4,0.1660845840233378,19.699,505.0,True,100,0.1,50
42,5,0.1944435000186786,19.699,606.0,True,100,0.1,50
43,6,0.22344475000863895,19.699,707.0,True,100,0.1,50
44,0,0.030903959006536752,26.6205,100.0,True,100,0.25,50
45,1,0.07666029199026525,17.3428,202.0,True,100,0.25,50
46,2,0.10495883401017636,17.3428,303.0,True,100,0.25,50
47,3,0.13408591703046113,17.3428,404.0,True,100,0.25,50
48,4,0.1660845840233378,17.3428,505.0,True,100,0.25,50
49,5,0.1944435000186786,17.3428,606.0,True,100,0.25,50
50,6,0.22344475000863895,17.3428,707.0,True,100,0.25,50
51,0,0.030903959006536752,26.6205,100.0,True,100,0.5,50
52,1,0.07666029199026525,19.4073,202.0,True,100,0.5,50
53,2,0.10495883401017636,19.4073,303.0,True,100,0.5,50
54,3,0.13408591703046113,19.4073,404.0,True,100,0.5,50
55,4,0.1660845840233378,19.4073,505.0,True,100,0.5,50
56,5,0.1944435000186786,19.4073,606.0,True,100,0.5,50
57,6,0.22344475000863895,19.4073,707.0,True,100,0.5,50
58,0,0.030903959006536752,26.6205,100.0,True,100,0.7,50
59,1,0.07666029199026525,20.2401,202.0,True,100,0.7,50
60,2,0.10495883401017636,19.8746,304.0,True,100,0.7,50
61,3,0.13408591703046113,19.8746,405.0,True,100,0.7,50
62,4,0.1660845840233378,19.8746,506.0,True,100,0.7,50
63,5,0.1944435000186786,19.8746,607.0,True,100,0.7,50
64,6,0.22344475000863895,19.8746,708.0,True,100,0.7,50
65,7,0.020808959030546248,19.8746,809.0,True,100,0.7,50
66,0,0.030903959006536752,26.6205,100.0,True,100,0.8,50
67,1,0.07666029199026525,20.0329,202.0,True,100,0.8,50
68,2,0.10495883401017636,20.0329,303.0,True,100,0.8,50
69,3,0.13408591703046113,20.0329,404.0,True,100,0.8,50
70,4,0.1660845840233378,20.0329,505.0,True,100,0.8,50
71,5,0.1944435000186786,20.0329,606.0,True,100,0.8,50
72,6,0.22344475000863895,20.0329,707.0,True,100,0.8,50
73,0,0.030903959006536752,26.6205,200.0,True,200,0.1,50
74,1,0.07666029199026525,19.1952,402.0,True,200,0.1,50
75,2,0.10495883401017636,19.1952,603.0,True,200,0.1,50
76,3,0.13408591703046113,19.1952,804.0,True,200,0.1,50
77,4,0.1660845840233378,19.1952,1005.0,True,200,0.1,50
78,5,0.1944435000186786,19.1952,1206.0,True,200,0.1,50
79,6,0.22344475000863895,19.1952,1407.0,True,200,0.1,50
80,0,0.030903959006536752,26.6205,200.0,True,200,0.25,50
81,1,0.07666029199026525,18.180500000000002,402.0,True,200,0.25,50
82,2,0.10495883401017636,18.180500000000002,603.0,True,200,0.25,50
83,3,0.13408591703046113,18.180500000000002,804.0,True,200,0.25,50
84,4,0.1660845840233378,18.180500000000002,1005.0,True,200,0.25,50
85,5,0.1944435000186786,18.180500000000002,1206.0,True,200,0.25,50
86,6,0.22344475000863895,18.180500000000002,1407.0,True,200,0.25,50
87,0,0.030903959006536752,26.6205,200.0,True,200,0.5,50
88,1,0.07666029199026525,19.1952,402.0,True,200,0.5,50
89,2,0.10495883401017636,17.3428,604.0,True,200,0.5,50
90,3,0.13408591703046113,17.3428,805.0,True,200,0.5,50
91,4,0.1660845840233378,17.3428,1006.0,True,200,0.5,50
92,5,0.1944435000186786,17.3428,1207.0,True,200,0.5,50
93,6,0.22344475000863895,17.3428,1408.0,True,200,0.5,50
94,7,0.020808959030546248,17.3428,1609.0,True,200,0.5,50
95,0,0.030903959006536752,26.6205,200.0,True,200,0.7,50
96,1,0.07666029199026525,19.4073,402.0,True,200,0.7,50
97,2,0.10495883401017636,18.180500000000002,604.0,True,200,0.7,50
98,3,0.13408591703046113,18.180500000000002,805.0,True,200,0.7,50
99,4,0.1660845840233378,18.180500000000002,1006.0,True,200,0.7,50
100,5,0.1944435000186786,18.180500000000002,1207.0,True,200,0.7,50
101,6,0.22344475000863895,18.180500000000002,1408.0,True,200,0.7,50
102,7,0.020808959030546248,18.180500000000002,1609.0,True,200,0.7,50
103,0,0.030903959006536752,26.6205,200.0,True,200,0.8,50
104,1,0.07666029199026525,19.8746,402.0,True,200,0.8,50
105,2,0.10495883401017636,19.436999999999998,604.0,True,200,0.8,50
106,3,0.13408591703046113,19.1952,806.0,True,200,0.8,50
107,4,0.1660845840233378,18.895899999999997,1008.0,True,200,0.8,50
