,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,26.6205,50,0.030903959006536752,"[1, 6, 4, 3, 5, 7, 2, 0]",True,50,0.1,50
1,50,21.4024,357,0.22344475000863895,"[4, 2, 1, 0, 6, 7, 5, 3]",True,50,0.1,50
2,0,26.6205,50,0.020808959030546248,"[1, 6, 4, 3, 5, 7, 2, 0]",True,50,0.25,50
3,50,21.269000000000002,357,0.20366937498329207,"[7, 2, 3, 4, 5, 6, 0, 1]",True,50,0.25,50
4,0,26.6205,50,0.020177666970994323,"[1, 6, 4, 3, 5, 7, 2, 0]",True,50,0.5,50
5,50,21.4165,357,0.19643645896576345,"[5, 6, 0, 7, 1, 4, 3, 2]",True,50,0.5,50
6,0,26.6205,50,0.020253291993867606,"[1, 6, 4, 3, 5, 7, 2, 0]",True,50,0.7,50
7,50,20.067500000000003,409,0.22056899999734014,"[4, 1, 2, 3, 7, 0, 6, 5]",True,50,0.7,50
8,0,26.6205,50,0.020490791997872293,"[1, 6, 4, 3, 5, 7, 2, 0]",True,50,0.8,50
9,50,19.55,409,0.2251194579876028,"[6, 5, 3, 2, 1, 4, 7, 0]",True,50,0.8,50
10,0,26.6205,100,0.03990250005153939,"[1, 6, 4, 3, 5, 7, 2, 0]",True,100,0.1,50
11,50,19.699,707,0.4004197080503218,"[2, 1, 3, 4, 5, 6, 0, 7]",True,100,0.1,50
12,0,26.6205,100,0.03999316698173061,"[1, 6, 4, 3, 5, 7, 2, 0]",True,100,0.25,50
13,50,17.3428,707,0.37953154201386496,"[2, 3, 4, 5, 6, 7, 0, 1]",True,100,0.25,50
14,0,26.6205,100,0.04301199998008087,"[1, 6, 4, 3, 5, 7, 2, 0]",True,100,0.5,50
15,50,19.4073,707,0.3769599169609137,"[7, 6, 5, 4, 2, 3, 1, 0]",True,100,0.5,50
16,0,26.6205,100,0.03875720803625882,"[1, 6, 4, 3, 5, 7, 2, 0]",True,100,0.7,50
17,50,19.8746,809,0.4281755000120029,"[1, 2, 3, 5, 6, 4, 7, 0]",True,100,0.7,50
18,0,26.6205,100,0.04043345799436793,"[1, 6, 4, 3, 5, 7, 2, 0]",True,100,0.8,50
19,50,20.0329,707,0.3785236249677837,"[1, 0, 6, 5, 7, 4, 3, 2]",True,100,0.8,50
20,0,26.6205,200,0.07787791703594849,"[1, 6, 4, 3, 5, 7, 2, 0]",True,200,0.1,50
21,50,19.1952,1407,0.7181361670373008,"[2, 3, 4, 6, 5, 7, 0, 1]",True,200,0.1,50
22,0,26.6205,200,0.07731645903550088,"[1, 6, 4, 3, 5, 7, 2, 0]",True,200,0.25,50
23,50,18.180500000000002,1407,0.7178574170102365,"[4, 5, 6, 0, 7, 1, 2, 3]",True,200,0.25,50
24,0,26.6205,200,0.08001808397239074,"[1, 6, 4, 3, 5, 7, 2, 0]",True,200,0.5,50
25,50,17.3428,1609,0.832297833985649,"[2, 3, 4, 5, 6, 7, 0, 1]",True,200,0.5,50
26,0,26.6205,200,0.0800658340449445,"[1, 6, 4, 3, 5, 7, 2, 0]",True,200,0.7,50
27,50,18.180500000000002,1609,0.8308796250494197,"[0, 6, 5, 4, 3, 2, 1, 7]",True,200,0.7,50
28,0,26.6205,200,0.07909329200629145,"[1, 6, 4, 3, 5, 7, 2, 0]",True,200,0.8,50
29,50,18.7123,2617,1.7712247080053203,"[7, 6, 5, 3, 4, 2, 1, 0]",True,200,0.8,50
30,0,26.6205,500,0.20273550000274554,"[1, 6, 4, 3, 5, 7, 2, 0]",True,500,0.1,50
31,50,17.3428,3507,1.872823417012114,"[4, 3, 2, 1, 0, 7, 6, 5]",True,500,0.1,50
32,0,26.6205,500,0.20095304097048938,"[1, 6, 4, 3, 5, 7, 2, 0]",True,500,0.25,50
33,50,17.3428,3507,1.850800790998619,"[7, 6, 5, 4, 3, 2, 1, 0]",True,500,0.25,50
34,0,26.6205,500,0.19981999997980893,"[1, 6, 4, 3, 5, 7, 2, 0]",True,500,0.5,50
35,50,17.3428,5011,2.6182233330328017,"[2, 3, 4, 5, 6, 7, 0, 1]",True,500,0.5,50
